timestamp,cpu,memory,disk,top5_processes
2025-04-09 22:31:50,54.36,79.87,95.38,"
example.exe (PID: 13496) - 50.00% | 17.93 MB | 
svchost.exe (PID: 9280) - 0.00% | 6.75 MB | 
WindowsTerminal.exe (PID: 13056) - 0.00% | 82.72 MB | 
chrome.exe (PID: 13184) - 0.00% | 55.48 MB | 
svchost.exe (PID: 4684) - 0.00% | 8.45 MB"
2025-04-09 22:31:55,13.12,79.75,95.38,"
Taskmgr.exe (PID: 8424) - 5.30% | 165.43 MB | 
Code.exe (PID: 15464) - 4.98% | 318.36 MB | 
Code.exe (PID: 4344) - 0.93% | 151.77 MB | 
Code.exe (PID: 12028) - 0.62% | 66.02 MB | 
Code.exe (PID: 11504) - 0.62% | 68.36 MB"
2025-04-09 22:32:00,13.37,78.99,95.38,"
Code.exe (PID: 15464) - 9.66% | 307.59 MB | 
Taskmgr.exe (PID: 8424) - 4.98% | 165.43 MB | 
chrome.exe (PID: 16540) - 1.87% | 70.38 MB | 
Code.exe (PID: 4344) - 1.56% | 151.78 MB | 
chrome.exe (PID: 3632) - 0.93% | 284.29 MB"
2025-04-09 22:32:05,10.06,78.90,95.38,"
Taskmgr.exe (PID: 8424) - 5.25% | 165.43 MB | 
Code.exe (PID: 15464) - 2.17% | 309.12 MB | 
example.exe (PID: 13496) - 0.62% | 18.40 MB | 
Code.exe (PID: 12028) - 0.31% | 66.05 MB | 
Code.exe (PID: 4344) - 0.31% | 151.84 MB"
2025-04-09 22:32:10,9.30,78.95,95.38,"
Taskmgr.exe (PID: 8424) - 4.05% | 165.43 MB | 
Code.exe (PID: 15464) - 1.55% | 309.52 MB | 
chrome.exe (PID: 5236) - 0.62% | 71.78 MB | 
Code.exe (PID: 4344) - 0.31% | 151.93 MB | 
explorer.exe (PID: 11268) - 0.31% | 298.43 MB"
2025-04-09 22:32:15,24.88,79.13,95.38,"
Code.exe (PID: 15464) - 18.89% | 314.52 MB | 
Code.exe (PID: 12396) - 7.74% | 167.49 MB | 
Code.exe (PID: 12300) - 6.19% | 113.03 MB | 
Taskmgr.exe (PID: 8424) - 5.88% | 165.43 MB | 
Code.exe (PID: 4344) - 1.24% | 151.86 MB"
2025-04-09 22:32:20,25.03,80.54,95.38,"
Code.exe (PID: 15464) - 11.24% | 312.24 MB | 
Taskmgr.exe (PID: 8424) - 5.62% | 165.43 MB | 
Code.exe (PID: 12396) - 5.62% | 175.66 MB | 
Code.exe (PID: 12300) - 4.06% | 113.09 MB | 
chrome.exe (PID: 10672) - 1.56% | 316.91 MB"
2025-04-09 22:32:25,24.94,80.41,95.38,"
Code.exe (PID: 15464) - 16.52% | 309.38 MB | 
Code.exe (PID: 12300) - 5.91% | 113.12 MB | 
Code.exe (PID: 12396) - 4.05% | 175.23 MB | 
Taskmgr.exe (PID: 8424) - 4.04% | 165.43 MB | 
chrome.exe (PID: 16540) - 0.93% | 72.00 MB"
2025-04-09 22:32:30,24.87,79.38,95.38,"
Code.exe (PID: 15464) - 14.60% | 309.90 MB | 
Code.exe (PID: 12300) - 5.30% | 113.09 MB | 
Code.exe (PID: 12396) - 4.04% | 176.53 MB | 
Taskmgr.exe (PID: 8424) - 3.43% | 165.43 MB | 
Code.exe (PID: 4344) - 0.93% | 151.96 MB"
2025-04-09 22:32:35,19.73,79.34,95.38,"
Code.exe (PID: 15464) - 15.89% | 308.20 MB | 
Code.exe (PID: 12300) - 4.67% | 113.18 MB | 
Taskmgr.exe (PID: 8424) - 3.43% | 165.43 MB | 
Code.exe (PID: 4344) - 1.56% | 151.84 MB | 
Code.exe (PID: 12396) - 1.25% | 174.61 MB"
2025-04-09 22:32:41,15.37,79.28,95.38,"
Taskmgr.exe (PID: 8424) - 6.50% | 165.43 MB | 
example.exe (PID: 13496) - 4.81% | 22.78 MB | 
Code.exe (PID: 15464) - 3.96% | 308.24 MB | 
Code.exe (PID: 12396) - 1.70% | 174.07 MB | 
Code.exe (PID: 12300) - 1.13% | 113.19 MB"
2025-04-09 22:32:46,20.78,79.33,95.38,"
Code.exe (PID: 15464) - 9.14% | 311.47 MB | 
Code.exe (PID: 12300) - 3.24% | 113.02 MB | 
Taskmgr.exe (PID: 8424) - 2.95% | 165.43 MB | 
example.exe (PID: 13496) - 2.36% | 22.84 MB | 
Code.exe (PID: 12396) - 1.77% | 172.22 MB"
